RANK,ADDRESS,NAME,CATEGORY,REVIEWS
26,Pont des Arts,Pont des Arts,Bridge,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83499
27,188 Rue de Rivoli,VIP Room,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83981
28,7 Rue Moret,L'International,Rock Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83443
29,23 boulevard Poissonniare,Corcoran's,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84498
30,36 Quai d'austerlitz,Le Neba,Lounge,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90262
31,6 avenue Marceau,Le Baron,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85295
32,11 Quai Franeois Mauriac,Le Batofar,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83383
33,4 Boulevard Malesherbes,Le Forvm,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84254
34,80 Boulevard de Rochechouart,Le Trianon,Concert Hall,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83735
35,18 rue du Temple,Voulez-Vous,Gay Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85488
36,12-14 rue Joseph-de-Maistre,Terrass Hotel,Hotel,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84781
37,Rue Francoeur,Cafe Francoeur,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84127
38,Le Marais,Le Marais,Neighborhood,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86609
39,2 Place Colette,Jardin du Palais Royal,Garden,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85345
40,120 Boulevard de Rochechouart,La Cigale,Music Venue,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84026
41,33 Cour Saint-Emilion,Chai 33,Wine Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83650
42,105 Rue Oberkampf,La Place Verte,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84526
43,16 Rue de la Forge Royale,Le Reservoir,Rock Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84776
44,28 rue Keller,Bacardi Mojito Lab,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87282
45,148 Rue du Faubourg Saint-Martin,Cafe A,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86420
46,110 Bis Avenue Kleber,Frog XVI,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84870
47,116 bis avenue des Champs-Elysees,Lido de Paris,Strip Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83707
48,30 Avenue Corentin Cariou,Le Zenith,Concert Hall,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83748
49,12 Avenue George V,Crazy Horse,Strip Club,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85120
50,6 Rue Georges Desplas,Grande Mosquee de Paris,Mosque,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83482
